Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source
AlF3,Al,F,83.98,70,1.11,0.13217432722076686,-0.8788528915152634,1.1224592982101327,CRC
AlF3,Al,F,83.98,80,1.28,0.15241724220052394,-0.8169659006540525,1.2965964343598055,CRC
AlF3,Al,F,83.98,90,1.45,0.17266015718028102,-0.762807868066946,1.471334348046677,CRC
AlF3,Al,F,83.98,100,1.64,0.19528459156942127,-0.709332022254223,1.6673444489629932,CRC
Al(NO3)3,Al,NO3,213.0,0,37.0,1.7370892018779343,0.23982212062825725,58.73015873015873,CRC
Al(NO3)3,Al,NO3,213.0,10,38.2,1.7934272300469483,0.253683759472971,61.81229773462784,CRC
Al(NO3)3,Al,NO3,213.0,20,39.9,1.8732394366197183,0.2725932922480105,66.38935108153078,CRC
Al(NO3)3,Al,NO3,213.0,25,40.8,1.9154929577464788,0.28228055965114224,68.9189189189189,CRC
Al(NO3)3,Al,NO3,213.0,30,42.0,1.971830985915493,0.2948696869591627,72.41379310344827,CRC
Al(NO3)3,Al,NO3,213.0,40,44.5,2.0892018779342725,0.3199804075421939,80.18018018018019,CRC
Al(NO3)3,Al,NO3,213.0,50,47.3,2.220657276995305,0.3464815372990738,89.75332068311195,CRC
Al(NO3)3,Al,NO3,213.0,60,50.4,2.3661971830985915,0.37405093300678754,101.61290322580645,CRC
Al(NO3)3,Al,NO3,213.0,70,53.8,2.5258215962441315,0.40240267222765147,116.45021645021644,CRC
Al(NO3)3,Al,NO3,213.0,100,61.5,2.887323943661972,0.46049551233667907,159.74025974025975,CRC
Al2(SO4)3,Al,SO4,342.15,0,27.5,0.8037410492474062,-0.09488385050206712,37.93103448275862,CRC
Al2(SO4)3,Al,SO4,342.15,10,27.8,0.8125091334210143,-0.09017174841425347,38.504155124653735,CRC
Al2(SO4)3,Al,SO4,342.15,20,28.2,0.8241999123191583,-0.08396743601296866,39.27576601671309,CRC
Al2(SO4)3,Al,SO4,342.15,30,29.2,0.8534268595645186,-0.06883369288391147,41.24293785310735,CRC
Al2(SO4)3,Al,SO4,342.15,40,30.7,0.8972672804325589,-0.04707816885514329,44.300144300144304,CRC
Al2(SO4)3,Al,SO4,342.15,50,32.6,0.9527984801987434,-0.020998944264390754,48.36795252225519,CRC
Al2(SO4)3,Al,SO4,342.15,60,34.9,1.020020458863072,0.008608882626850155,53.60983102918587,CRC
Al2(SO4)3,Al,SO4,342.15,70,37.6,1.0989332164255445,0.04097130059533131,60.256410256410255,CRC
Al2(SO4)3,Al,SO4,342.15,80,40.7,1.1895367528861611,0.07537786489289026,68.63406408094436,CRC
Al2(SO4)3,Al,SO4,342.15,90,44.2,1.2918310682449219,0.1112057250167621,79.21146953405018,CRC
As2O3,As,O3,197.84,0,1.19,0.06014961585119288,-1.2207671419607102,1.2043315453901426,CRC
